sex,age_years,height_pct,height_cm_sbp,height_cm_dbp,height_in_sbp,height_in_dbp,sbp_p50,sbp_p90,sbp_p95,sbp_p95plus12,dbp_p50,dbp_p90,dbp_p95,dbp_p95plus12
female,11,25,142.8,142.8,56.2,56.2,101,113,117,129,60,74,77,89
female,11,50,147.8,147.8,58.2,58.2,102,114,118,130,61,74,77,89
female,11,75,152.8,152.8,60.2,60.2,104,116,120,132,62,74,77,89
female,11,90,157.3,157.3,61.9,61.9,105,118,123,135,63,75,77,89
female,11,95,160,160,63,63,106,120,124,136,64,75,77,89
female,12,5,142.8,142.8,56.2,56.2,102,114,118,130,61,75,78,90
female,12,10,145.5,145.5,57.3,57.3,102,115,119,131,61,75,78,90
female,12,25,149.9,149.9,59,59,104,116,120,132,61,75,78,90
female,12,50,154.8,154.8,60.9,60.9,105,118,122,134,62,75,78,90
female,12,75,159.6,159.6,62.8,62.8,107,120,124,136,64,76,79,91
female,12,90,163.8,163.8,64.5,64.5,108,122,125,137,65,76,79,91
female,12,95,166.4,166.4,65.5,65.5,108,122,126,138,65,76,79,91
female,13,5,148.1,148.1,58.3,58.3,104,116,121,133,62,75,79,91
female,13,10,150.6,150.6,59.3,59.3,105,117,122,134,62,75,79,91
female,13,25,154.7,154.7,60.9,60.9,106,119,123,135,63,75,79,91
female,13,50,159.2,159.2,62.7,62.7,107,121,124,136,64,76,79,91
female,13,75,163.7,163.7,64.5,64.5,108,122,126,138,65,76,80,92
female,13,90,167.8,167.8,66.1,66.1,108,123,126,138,65,76,80,92
female,13,95,170.2,170.2,67,67,109,123,127,139,66,76,81,93
female,14,5,150.6,150.6,59.3,59.3,105,118,123,135,63,76,80,92
female,14,10,153,153,60.2,60.2,106,118,123,135,63,76,80,92
female,14,25,156.9,156.9,61.8,61.8,107,120,124,136,64,76,80,92
female,14,50,161.3,161.3,63.5,63.5,108,122,125,137,65,76,80,92
female,14,75,165.7,165.7,65.2,65.2,109,123,126,138,66,77,81,93
female,14,90,169.7,169.7,66.8,66.8,109,123,127,139,66,77,81,93
female,14,95,172.1,172.1,67.7,67.7,109,123,127,139,66,77,82,94
female,15,5,151.7,151.7,59.7,59.7,105,118,124,136,64,76,80,92
female,15,10,154,154,60.6,60.6,106,119,124,136,64,76,80,92
female,15,25,157.9,157.9,62.2,62.2,107,121,125,137,64,76,80,92
female,15,50,162.3,162.3,63.9,63.9,108,122,126,138,65,77,81,93
female,15,75,166.7,166.7,65.6,65.6,109,123,127,139,66,77,82,94
female,15,90,170.6,170.6,67.2,67.2,109,123,127,139,67,78,82,94
female,15,95,173,173,68.1,68.1,109,124,128,140,67,78,82,94
female,16,5,152.1,152.1,59.9,59.9,106,119,124,136,64,76,80,92
female,16,10,154.5,154.5,60.8,60.8,107,120,125,137,64,76,80,92
female,16,25,158.4,158.4,62.4,62.4,108,122,125,137,65,76,80,92
female,16,50,162.8,162.8,64.1,64.1,109,123,127,139,66,77,81,93
female,16,75,167.1,167.1,65.8,65.8,109,124,127,139,66,78,82,94
female,16,90,171.1,171.1,67.3,67.3,110,124,128,140,67,78,82,94
female,16,95,173.4,173.4,68.3,68.3,110,124,128,140,67,78,82,94
female,17,5,152.4,152.4,60,60,107,120,125,137,64,76,80,92
female,17,10,154.7,154.7,60.9,60.9,108,121,125,137,64,76,80,92
female,17,25,158.7,158.7,62.5,62.5,109,123,126,138,65,77,80,92
female,17,50,163,163,64.2,64.2,110,124,127,139,66,77,81,93
female,17,75,167.4,167.4,65.9,65.9,110,124,128,140,66,78,82,94
female,17,90,171.3,171.3,67.4,67.4,110,125,128,140,66,78,82,94
female,17,95,173.7,173.7,68.4,68.4,111,125,128,140,67,78,82,94
male,1,5,77.2,77.2,30.4,30.4,85,98,102,114,40,52,54,66
male,1,10,78.3,78.3,30.8,30.8,85,99,102,114,40,52,54,66
male,1,25,80.2,80.2,31.6,31.6,86,99,103,115,40,53,55,67
male,1,50,82.4,82.4,32.4,32.4,86,100,103,115,41,53,55,67
male,1,75,84.6,84.6,33.3,33.3,87,100,104,116,41,54,56,68
male,1,90,86.7,86.7,34.1,34.1,88,101,105,117,42,54,57,69
male,1,95,87.9,87.9,34.6,34.6,88,101,105,117,42,54,57,69
male,2,5,86.1,86.1,33.9,33.9,87,100,104,116,43,55,57,69
male,2,10,87.4,87.4,34.4,34.4,87,100,105,117,43,55,58,70
male,2,25,89.6,89.6,35.3,35.3,88,101,105,117,44,56,58,70
male,2,50,92.1,92.1,36.3,36.3,89,102,106,118,44,56,59,71
